ROUND,HOME,SCORE,SCORE,AWAY,OT
1,Mount Hawt'n'horny,4,15,Yokine Drugs n' Crime,
1,Rottnest Holy Quokkamoles,9,8,Dalkeith Urban's,
1,Stoneville Sloths,15,10,Kalamunda Hillbillies,
1,Swanbourne Sand People,10,11,Scarbara Kadabra,
1,Perth City Puck Pirates,10,3,South Perth Sam's Green Eggs and Ham,
1,West Stirling Banjo Breakers,22,10,Rocko's Modern Rollers,
2,Karrakatta Grim Jobs,4,2,Doubleview Double Yewws,
2,Hungry Spot Heroes,16,8,Bicton Four 'n Twenty,
2,Lake Mongrels,18,11,Nedlands Flanders,
2,Innaloominati,9,4,Inglewood Coldcuts,
2,Maylands Muthapuckas,9,7,Rollerburger Leedervillains,
2,Palmyra Puck Patrol,0,15,Kensington Kermits,
2,Hyde Park Hacks,10,11,Dianella Demons,OT
2,Dog Swamp Swamp Dogs,7,5,50 Shades of Graylands,
2,South Perth Shakas,17,9,St James Addictions,
2,Subiaco Silkworms,5,10,Yokine Reservoir Dogs,
2,Swan View Draught,17,7,South Perth Major Blazers,
2,Swanbourne Nudists,12,3,Whitfords City Turbo Tuggers,
2,Scarborough Scar Bros,,,Swanbourne Sand People,
2,Canning Bridge Trolls,13,8,Como At Me Bro,
2,Hillarys Humpbacks,8,14,Claremont Cereal Killahs,
2,Heathcote Hangers,6,9,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,
2,Black Wall Reach Arounds,5,10,GMLA Angels,
2,Ocean Beef,9,7,Wembley Food Courts,
2,Mindarie molotovs,13,12,Morley Puck Troopers,OT
2,The Swanbourne Identity,12,10,Mullaloozers,
2,Greenmount Doom,,,GMLA Guardians,
2,Mosman Mooseknuckles,15,8,Northbridge MDM8'S,
2,Balcatta Bandits,15,5,Bicton Banter Lords,
2,Churchlands Hellraisers,14,6,Bayswater Croquet Club,
2,K-Town Cooks,10,15,Como Mo Co,
2,Burswood 6100s,7,12,Patrick Bateman,
2,Mount Lawless,13,8,Mt Pleasant Mounties,
2,North Perth Bald Beavers,13,8,GMLA Jurassic Pucks,
2,Labia Menora Explorers,10,17,Morning Brentwood,
2,Booragoonbagz,9,19,City Beach Kooks,
2,Perth City Puck Pirates,5,11,Dalkeith Dalqueefs,
2,East Freo Bae Blades,4,11,Stirling From the Bottom Now We're Here,
2,Get Bentley,7,8,Rocko Rodents,
2,High Gates,8,9,Perth Glory Holes,
2,Marmion Mighty Drunks,6,16,Riverton Regretzkys,
2,Mörley Crüe,9,5,Kalamunda Hillbillies,
2,Scarbara Kadabra,10,5,Freo Dirty Dog Beachers,
2,Stoneville Sloths,4,12,Bayslaughter House 5,
2,Leeming Chin,8,5,Rottnest Holy Quokkamoles,
2,Roleystone Henges,11,10,North Beach Bearded Clams,OT
2,Shannon Nollamaras,10,5,Yokine Drugs n' Crime,
2,You Used to Como on my Cell Phone,8,1,South Perth Sam's Green Eggs and Ham,
2,Jason Alexander Heights,11,12,Stirling Archers,
2,Salter Point Pint Sucklers,13,1,Fremantle Metropolis Double Blacks,
2,Balingup Bruisers,21,13,Mount Hawt'n'horny,
2,Bedford Rave Lords,10,4,Bayswater Barracudas,
2,Westeros Perth R'hllors,15,14,Wilson Castaways,OT
2,Vic Park Vanguards,,,Wembley Blue Light Discos,
2,Manning Manchilds,12,10,Murray Street Tramps,
2,U.S.S.R,5,9,Dalkeith Urban's,
3,Patrick Bateman,5,4,Balcatta Bandits,
3,Nedlands Flanders,6,3,Perth City Puck Pirates,
3,Wembley Food Courts,6,12,Karrakatta Grim Jobs,
3,Kensington Kermits,8,7,Black Wall Reach Arounds,OT
3,Bayswater Croquet Club,15,10,Northbridge MDM8'S,
3,Bayslaughter House 5,10,6,Bayswater Barracudas,
3,City Beach Kooks,18,8,Stirling Archers,
3,Churchlands Hellraisers,16,10,Burswood 6100s,
3,GMLA Angels,16,9,Dog Swamp Swamp Dogs,
3,GMLA Guardians,7,13,Labia Menora Explorers,
3,Bicton Four 'n Twenty,6,10,50 Shades of Graylands,
3,Bicton Banter Lords,12,7,K-Town Cooks,
3,Kalamunda Hillbillies,10,13,Jason Alexander Heights,
3,Lake Mongrels,11,3,Leeming Chin,
3,Shannon Nollamaras,11,13,Mörley Crüe,
3,Wembley Blue Light Discos,9,7,Scarbara Kadabra,
3,Claremont Cereal Killahs,8,11,The Swanbourne Identity,
3,Freo Dirty Dog Beachers,9,4,East Freo Bae Blades,
3,Fremantle Metropolis Double Blacks,7,8,Get Bentley,
3,Booragoonbagz,6,9,Palmyra Puck Patrol,
3,Murray Street Tramps,7,13,Marmion Mighty Drunks,
3,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,11,7,Rocko's Modern Rollers,
3,Dalkeith Urban's,9,8,You Used To Como On My Cell Phone,OT
3,Yokine Reservoir Dogs,7,12,Canning Bridge Trolls,
3,Como Mo Co,9,5,Morning Brentwood,
3,Mindarie molotovs,13,6,Maylands Muthapuckas,
3,North Beach Bearded Clams,14,7,Mount Hawt'n'horny,
3,Yokine Drugs n' Crime,4,5,U.S.S.R,
3,Greenmount Doom,13,16,Rollerburger Leedervillains,
3,Roleystone Henges,11,10,Stoneville Sloths,
3,Rottnest Holy Quokkamoles,6,2,Swanbourne Sand People,
3,Salter Point Pint Sucklers,13,20,Swan View Draught,
3,South Perth Sam's Green Eggs and Ham,7,12,Balingup Bruisers,
3,Hungry Spot Heroes,8,10,Ocean Beef,
3,Dalkeith Dalqueefs,7,1,High Gates,
3,Wilson Castaways,7,6,Bedford Rave Lords,
3,Morley Puck Troopers,18,8,Doubleview Double Yewws,
3,Mt Pleasant Mounties,17,7,Mosman Mooseknuckles,
3,Mullaloozers,12,6,North Perth Bald Beavers,
3,Inglewood Coldcuts,18,5,Como At Me Bro,
3,Dianella Demons,8,7,Innaloominati,
3,Riverton Regretzkys,7,6,Vic Park Vanguards,
3,GMLA Jurassic Pucks,8,12,Perth Glory Holes,
3,Rocko Rodents,7,11,South Perth Major Blazers,
3,St James Addictions,9,15,Heathcote Hangers,
3,West Stirling Banjo Breakers,13,10,Hillarys Humpbacks,
3,Whitfords City Turbo Tuggers,8,5,Scarborough Scar Bros,
3,Stirling From the Bottom Now We're Here,15,10,Westeros Perth R'hllors,
3,Swanbourne Nudists,8,11,South Perth Shakas,
3,Subiaco Silkworms,6,3,Hyde Park Hacks,
3,Manning Manchilds,10,13,Mount Lawless,
4,South Perth Shakas,6,7,Kensington Kermits,
4,Swan View Draught,8,16,Greenmount Doom,
4,Patrick Bateman,17,7,Canning Bridge Trolls,
4,North Beach Bearded Clams,6,9,Mörley Crüe,
