ROUND,HOME,SCORE,SCORE,AWAY,OT
10,Palmyra Puck Patrol,5,3,Stoneville Sloths,
10,North Beach Bearded Clams,7,13,Freo Dirty Dog Beachers,
10,Scarbara Kadabra,5,13,Claremont Cereal Killahs,
10,Mosman Mooseknuckles,11,7,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,
10,Hyde Park Hacks,12,6,Salter Point Pint Sucklers,
10,Labia Menora Explorers,6,7,Hungry Spot Heroes,
10,Mullaloozers,4,8,Morning Brentwood,
10,GMLA Angels,0,10,Bicton Banter Lords,
10,Northbridge MDM8'S,0,10,Kensington Kermits,
10,Get Bentley,9,4,Nedlands Flanders,
10,50 Shades of Graylands,6,7,Leeming Chin,OT
10,Yokine Reservoir Dogs,12,3,Perth City Puck Pirates,
10,Mount Lawless,0,10,Lake Mongrels,
10,Wilson Castaways,11,5,You Used To Como On My Cell Phone,
10,GMLA Guardians,6,4,K-Town Cooks,
10,South Perth Shakas,0,10,Bayswater Croquet Club,
10,Dog Swamp Swamp Dogs,13,10,High Gates,
10,Dianella Demons,10,0,Perth Glory Holes,
10,Swanbourne Nudists,4,9,Wembley Blue Light Discos,
10,Scarborough Scar Bros,7,0,Bicton Four 'n Twenty,
10,Rollerburger Leedervillains,10,15,Morley Puck Troopers,
10,Balingup Bruisers,7,8,Rottnest Holy Quokkamoles,
10,Canning Bridge Trolls,8,5,Murray Street Tramps,
10,Mt Pleasant Mounties,8,9,Burswood 6100s,
10,Manning Manchilds,10,0,Ocean Beef,
10,U.S.S.R,6,20,Subiaco Silkworms,
10,South Perth Major Blazers,,,Bedford Rave Lords,
10,Swanbourne Sand People,8,12,Como At Me Bro,
10,GMLA Jurassic Pucks,9,10,Shannon Nollamaras,OT
10,Booragoonbagz,12,6,Dalkeith Urban's,
10,Marmion Mighty Drunks,4,8,Black Wall Reach Arounds,
10,Bayswater Barracudas,8,3,Yokine Drugs n' Crime,
10,Westeros Perth R'hllors,8,15,Doubleview Double Yewws,
10,Inglewood Coldcuts,7,6,Hillarys Humpbacks,
10,Whitfords City Turbo Tuggers,19,7,Fremantle Metropolis Double Blacks,
10,Rocko's Modern Rollers,12,5,Jason Alexander Heights,
10,Stirling From the Bottom Now We're Here,10,0,Vic Park Vanguards,
10,Stirling Archers,14,12,Mount Hawt'n'horny,
10,Rocko Rodents,3,6,Kalamunda Hillbillies,
10,Roleystone Henges,9,6,East Freo Bae Blades,
10,South Perth Sam's Green Eggs and Ham,6,9,St James Addictions,
11,North Beach Bearded Clams,7,7,Yokine Drugs n' Crime,
11,Mount Hawt'n'horny,4,7,Kalamunda Hillbillies,
11,Wembley Food Courts,9,7,Northbridge MDM8'S,
11,Perth City Puck Pirates,10,13,Marmion Mighty Drunks,
11,Mosman Mooseknuckles,10,11,Greenmount Doom,OT
11,Inglewood Coldcuts,12,7,Subiaco Silkworms,
11,Hyde Park Hacks,12,10,GMLA Jurassic Pucks,
11,Labia Menora Explorers,16,7,Hillarys Humpbacks,
11,Nedlands Flanders,4,14,Innaloominati,
11,Leeming Chin,10,7,Shannon Nollamaras,
11,Manning Manchilds,11,10,St James Addictions,OT
11,South Perth Shakas,5,6,South Perth Major Blazers,
11,North Perth Bald Beavers,10,12,Lake Mongrels,
11,Stirling From the Bottom Now We're Here,5,8,Balingup Bruisers,
11,Bicton Banter Lords,7,6,Riverton Regretzkys,OT
11,City Beach Kooks,5,20,Maylands Muthapuckas,
11,Claremont Cereal Killahs,5,11,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,
11,Jason Alexander Heights,,,Bedford Rave Lords,
11,Murray Street Tramps,0,5,Dog Swamp Swamp Dogs,
11,South Perth Sam's Green Eggs and Ham,1,6,Fremantle Metropolis Double Blacks,
11,Yokine Reservoir Dogs,9,2,East Freo Bae Blades,
11,Balcatta Bandits,13,3,The Swanbourne Identity,
11,GMLA Guardians,,,GMLA Angels,
11,Mt Pleasant Mounties,5,15,Morley Puck Troopers,
11,Dalkeith Dalqueefs,,,Wembley Blue Light Discos,
11,Patrick Bateman,13,10,Churchlands Hellraisers,
11,Karrakatta Grim Jobs,10,9,Canning Bridge Trolls,OT
11,Palmyra Puck Patrol,10,9,Mörley Crüe,OT
11,Swan View Draught,7,8,Como Mo Co,
11,Swanbourne Sand People,16,17,Bayslaughter House 5,
11,Freo Dirty Dog Beachers,5,7,Kensington Kermits,
11,Mullaloozers,8,6,Ocean Beef,
11,Hungry Spot Heroes,10,0,Mount Lawless,
11,West Stirling Banjo Breakers,,,K-Town Cooks,
11,Mindarie molotovs,10,9,Rollerburger Leedervillains,
11,Heathcote Hangers,0,10,Morning Brentwood,
11,Rottnest Holy Quokkamoles,8,7,Roleystone Henges,
11,Scarbara Kadabra,6,4,50 Shades of Graylands,
11,Bayswater Barracudas,4,7,Bicton Four 'n Twenty,
11,Whitfords City Turbo Tuggers,7,10,High Gates,
11,Burswood 6100s,14,15,Bayswater Croquet Club,
11,Dianella Demons,17,4,U.S.S.R,
11,Dalkeith Urban's,4,9,Como At Me Bro,
11,Stoneville Sloths,8,7,Get Bentley,
11,Black Wall Reach Arounds,16,15,Doubleview Double Yewws,
11,Booragoonbagz,5,13,Salter Point Pint Sucklers,
11,You Used To Como On My Cell Phone,10,5,Perth Glory Holes,
11,Swanbourne Nudists,12,6,Stirling Archers,
11,Rocko's Modern Rollers,4,10,Wilson Castaways,
11,Rocko Rodents,,,Westeros Perth R'hllors,
11,Scarborough Scar Bros,10,0,Vic Park Vanguards,
12,Maylands Muthapuckas,5,4,Yokine Reservoir Dogs,
12,Wembley Blue Light Discos,0,10,Wembley Food Courts,
12,Greenmount Doom,10,11,Bicton Banter Lords,OT
12,GMLA Jurassic Pucks,11,7,Inglewood Coldcuts,
12,GMLA Angels,,,Northbridge MDM8's,
12,Bicton Four 'n Twenty,8,7,Leeming Chin,
12,Fremantle Metropolis Double Blacks,4,5,Murray Street Tramps,
12,Innaloominati,6,12,Claremont Cereal Killahs,
12,Morley Puck Troopers,15,14,Labia Menora Explorers,
12,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,10,7,Manning Manchilds,
12,Westeros Perth R'hllors,0,10,Nedlands Flanders,
12,Dog Swamp Swamp Dogs,11,8,North Perth Bald Beavers,
12,South Perth Major Blazers,,,South Perth Sam's Green Eggs and Ham,
12,Bedford Rave Lords,10,6,Stirling From the Bottom Now We're Here,
12,Subiaco Silkworms,9,7,City Beach Kooks,
12,Lake Mongrels,15,8,Jason Alexander Heights,
12,Como Mo Co,8,7,Balcatta Bandits,OT
12,K-Town Cooks,7,8,Swan View Draught,
12,The Swanbourne Identity,10,0,GMLA Guardians,
12,Morning Brentwood,7,11,Patrick Bateman,
12,Mörley Crüe,2,6,Black Wall Reach Arounds,
12,Vic Park Vanguards,,,Karrakatta Grim Jobs,
12,Riverton Regretzkys,10,3,Dalkeith Dalqueefs,
12,Churchlands Hellraisers,10,0,Mt Pleasant Mounties,
12,East Freo Bae Blades,7,11,Palmyra Puck Patrol,
12,Bayslaughter House 5,13,9,Mosman Mooseknuckles,
12,Kensington Kermits,8,11,Mullaloozers,
12,Mount Lawless,27,10,Hyde Park Hacks,
12,High Gates,11,7,Stoneville Sloths,
12,Salter Point Pint Sucklers,9,8,Freo Dirty Dog Beachers,
12,Canning Bridge Trolls,9,4,Hungry Spot Heroes,
12,Rollerburger Leedervillains,15,9,West Stirling Banjo Breakers,
12,Bayswater Croquet Club,2,10,Mindarie molotovs,
12,Get Bentley,,,Heathcote Hangers,
12,Perth Glory Holes,0,10,Scarbara Kadabra,
12,50 Shades of Graylands,12,5,North Beach Bearded Clams,
12,Kalamunda Hillbillies,6,5,You Used To Como On My Cell Phone,OT
12,Como At Me Bro,10,7,South Perth Shakas,
12,St James Addictions,9,8,Dianella Demons,
12,Ocean Beef,,,Perth City Puck Pirates,
12,Doubleview Double Yewws,4,6,Scarborough Scar Bros,
12,Hillarys Humpbacks,5,9,Swanbourne Nudists,
12,Balingup Bruisers,14,4,Booragoonbagz,
12,Marmion Mighty Drunks,,,Burswood 6100s,
12,Roleystone Henges,12,3,Mount Hawt'n'horny,
12,Shannon Nollamaras,4,5,Rocko's Modern Rollers,
12,Stirling Archers,7,5,Bayswater Barracudas,
12,U.S.S.R,,,Swanbourne Sand People,
12,Wilson Castaways,10,8,Dalkeith Urban's,
12,Yokine Drugs n' Crime,5,8,Rottnest Holy Quokkamoles,
12,Rocko Rodents,7,8,Whitfords City Turbo Tuggers,
