,IsDraw,Winteam,Lossteam,gameplayed
125,False,Inglewood Coldcuts,Subiaco Silkworms,1.0
126,False,Lake Mongrels,GMLA Jurassic Pucks,1.0
127,False,Swan View Sharks,Whitfords City Wristies,1.0
128,False,Innaloominati,Booragoonbagz,1.0
129,False,Mt Lawley Chai Lattes,Perth Glory Holez,1.0
130,False,South Perth Shakas,Yokine Reservoir Dogs,1.0
131,False,West Stirling Banjo Breakers,North Perth Bald Beavers,1.0
132,False,West Coast Spastic Eagles,City Beach Kooks,1.0
133,False,Wembley Blue Light Discos,Dalkeith Dalqueefs,1.0
134,False,Swanbourne Nudists,Whorebin Grovers,1.0
136,False,Mindarie Molotovs,Mosman Mooseknuckles,1.0
137,False,GMLA Guardians,Leederphiles Rolferhockey,1.0
138,False,Dianella Demons,Claremont Cereal Killahs,1.0
139,False,Bicton Four'n Twenty,GMLA Angels,1.0
140,False,Mullaloozers,Doubleview Double Yewws,1.0
141,False,Melville Massiv,Bicton Bath Salts,1.0
142,False,Churchlands Hellraisers,Mount Lawless,1.0
143,False,Como Mo Co,Greenmount Doom,1.0
144,False,Balcatta Bandits,Bicton Banter Lords,1.0
145,False,Rosemount Rinsers,Como At Me Bro,1.0
146,False,Daglish Dhe Moisties,Wembley Food Courts,1.0
147,False,Kensington Kermits,K-Town Cooks,1.0
148,False,Ocean Beef,Karrakatta Grim Jobs,1.0
149,False,Hungry Spot Heroes,Creepy Crawleys,1.0
150,False,Morley Puck Troopers,Maylands Muthapuckas,1.0
151,False,Hillarys Humpbacks,Dog Swamp Swamp Dogs,1.0
152,False,Wilson Castaways,Rocko Rodents,1.0
153,False,Manning Manchilds,Booragoonbagz,1.0
154,False,Perth City Puck Pirates,MosmAnonymous,1.0
155,False,West Coast Spastic Eagles,Scarborough Scar Bros,1.0
156,False,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,Bull Creek Buttchuggers,1.0
157,False,Perth Glory Holez,Stirling From The Bottom Now We're Here,1.0
158,False,Morning Brentwood,Whorebin Grovers,1.0
159,False,Murray Street Tramps,Get Bentley,1.0
160,False,Dalkeith Dalqueefs,East Freo Bae Blades,1.0
161,False,Swanbourne Nudists,USSR,1.0
162,False,St James Addictions,Innaloominati,1.0
163,False,Highgate Hommus-sexuals,Mt Lawley Chai Lattes,1.0
164,False,Morley Puck Troopers,Hydepark Hacks,1.0
165,False,Subiaco Silkworms,Salter Point Shooters,1.0
166,False,South Perth Shakas,South Perth Major Blazers,1.0
167,False,Yokine Reservoir Dogs,Heathcote Hangers,1.0
168,False,Black Wall Reach Arounds,City Beach Kooks,1.0
169,False,Inglewood Coldcuts,50 Shades of Graylands,1.0
170,False,North Perth Bald Beavers,GMLA Jurassic Pucks,1.0
171,False,Lake Mongrels,Swan View Sharks,1.0
172,False,Creepy Crawleys,Wembley Blue Light Discos,1.0
173,False,Mullaloozers,Whitfords City Wristies,1.0
174,False,Como Mo Co,Melville Massiv,1.0
175,False,Bicton Banter Lords,Dianella Demons,1.0
176,False,Mt Pleasant Mounties,Como At Me Bro,1.0
177,False,Daglish Dhe Moisties,Leederphiles Rolferhockey,1.0
178,False,Karrakatta Grim Jobs,Hungry Spot Heroes,1.0
179,False,Mount Lawless,Dog Swamp Swamp Dogs,1.0
180,False,Rosemount Rinsers,Bicton Four'n Twenty,1.0
181,False,Wembley Food Courts,Hillarys Humpbacks,1.0
182,False,West Stirling Banjo Breakers,Doubleview Double Yewws,1.0
183,False,Claremont Cereal Killahs,Mosman Mooseknuckles,1.0
184,False,Maylands Muthapuckas,GMLA Angels,1.0
185,False,Churchlands Hellraisers,Greenmount Doom,1.0
186,False,Balcatta Bandits,Mindarie Molotovs,1.0
