,IsDraw,Winteam,Lossteam,gameplayed
146,False,West Stirling Banjo Breakers,Hillarys Humpbacks,1.0
147,False,Whitfords City Turbo Tuggers,Scarborough Scar Bros,1.0
148,False,Stirling From the Bottom Now We're Here,Westeros Perth R'hllors,1.0
149,False,South Perth Shakas,Swanbourne Nudists,1.0
150,False,Subiaco Silkworms,Hyde Park Hacks,1.0
151,False,Mount Lawless,Manning Manchilds,1.0
152,False,Kensington Kermits,South Perth Shakas,1.0
153,False,Greenmount Doom,Swan View Draught,1.0
154,False,Patrick Bateman,Canning Bridge Trolls,1.0
155,False,Mörley Crüe,North Beach Bearded Clams,1.0
156,False,GMLA Angels,The Swanbourne Identity,1.0
157,False,Karrakatta Grim Jobs,Claremont Cereal Killahs,1.0
158,False,Balcatta Bandits,Morning Brentwood,1.0
159,False,Scarbara Kadabra,Marmion Mighty Drunks,1.0
160,False,Freo Dirty Dog Beachers,Bedford Rave Lords,1.0
161,False,Yokine Reservoir Dogs,North Perth Bald Beavers,1.0
162,False,Maylands Muthapuckas,South Perth Major Blazers,1.0
163,False,Dalkeith Dalqueefs,Wilson Castaways,1.0
164,False,Riverton Regretzkys,Black Wall Reach Arounds,1.0
165,False,50 Shades of Graylands,Dianella Demons,1.0
166,False,Bayswater Barracudas,Roleystone Henges,1.0
167,False,Como Mo Co,Churchlands Hellraisers,1.0
168,False,You Used To Como On My Cell Phone,Yokine Drugs n' Crime,1.0
169,False,Mt Pleasant Mounties,Bayswater Croquet Club,1.0
170,False,Labia Menora Explorers,Doubleview Double Yewws,1.0
171,False,Hungry Spot Heroes,Lake Mongrels,1.0
172,False,Wembley Blue Light Discos,Inglewood Coldcuts,1.0
173,False,Balingup Bruisers,Dalkeith Urban's,1.0
174,False,City Beach Kooks,Stirling From The Bottom Now We're Here,1.0
175,True,Bayslaughter House 5,High Gates,1.0
176,False,Rollerburger Leedervillains,Swanbourne Nudists,1.0
177,False,Shannon Nollamaras,Stirling Archers,1.0
178,False,Northbridge MDM8's,Ocean Beef,1.0
179,False,Morley Puck Troopers,Bicton Banter Lords,1.0
180,False,Mindarie Molotovs,Manning Manchilds,1.0
181,False,Get Bentley,Westeros Perth R'hllors,1.0
182,False,Stoneville Sloths,Rottnest Holy Quokkamoles,1.0
183,False,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,Whitfords City Turbo Tuggers,1.0
184,False,Leeming Chin,U.S.S.R,1.0
185,False,Heathcote Hangers,Como At Me Bro,1.0
186,False,Mount Lawless,K-Town Cooks,1.0
187,False,Mosman Mooseknuckles,Subiaco Silkworms,1.0
188,False,Palmyra Puck Patrol,Rocko Rodents,1.0
189,False,Scarborough Scar Bros,Jason Alexander Heights,1.0
190,False,Perth Glory Holes,Swanbourne Sand People,1.0
191,False,Salter Point Pint Sucklers,Rocko's Modern Rollers,1.0
192,False,Hyde Park Hacks,Hillarys Humpbacks,1.0
193,False,West Stirling Banjo Breakers,Dog Swamp Swamp Dogs,1.0
194,False,GMLA Guardians,Burswood 6100s,1.0
195,False,Nedlands Flanders,Kalamunda Hillbillies,1.0
197,False,Booragoonbagz,Fremantle Metropolis Double Blacks,1.0
198,False,St James Addictions,Bicton Four 'n Twenty,1.0
199,False,Mount Hawt'n'horny,South Perth Sam's Green Eggs and Ham,1.0
200,False,Perth City Puck Pirates,East Freo Bae Blades,1.0
201,False,Mullaloozers,Wembley Food Courts,1.0
202,False,Innaloominati,GMLA Jurassic Pucks,1.0
203,False,Balcatta Bandits,Mosman Mooseknuckles,1.0
204,False,Get Bentley,Dalkeith Urban's,1.0
205,False,Fremantle Metropolis Double Blacks,Mount Hawt'n'horny,1.0
206,False,Stoneville Sloths,Leeming Chin,1.0
207,False,Perth City Puck Pirates,U.S.S.R,1.0
209,False,Lake Mongrels,Yokine Drugs n' Crime,1.0
210,False,50 Shades of Graylands,Hillarys Humpbacks,1.0
211,False,Dianella Demons,Dog Swamp Swamp Dogs,1.0
212,False,Doubleview Double Yewws,Whitfords City Turbo Tuggers,1.0
213,False,GMLA Jurassic Pucks,Bayswater Barracudas,1.0
214,False,West Stirling Banjo Breakers,Jason Alexander Heights,1.0
215,False,Northbridge MDM8'S,Hungry Spot Heroes,1.0
216,False,Perth Glory Holes,Rocko Rodents,1.0
217,False,Rocko's Modern Rollers,Kalamunda Hillbillies,1.0
218,False,South Perth Major Blazers,Palmyra Puck Patrol,1.0
219,False,Wilson Castaways,Stirling Archers,1.0
220,False,GMLA Angels,Morning Brentwood,1.0
221,False,K-Town Cooks,Manning Manchilds,1.0
