HOME,SCORE,OTL_HOME,OTL_AWAY,SCORE,AWAY
Maylands Muthapuckas,7,,OT,6,Claremont Cereal Killahs
Hungry Spot Heroes,,,,,
South Perth Puckaneers,11,,,8,North Perth Bald Beavers
Ocean Beef,5,,,6,Shenton Park Speed Dealers
Kensington Kermits,11,,,9,GMLA Jurassic Pucks
Melville Massiv,8,,,15,Mt Pleasant Mounties
Creepy Crawleys,15,,,13,Subiaco Silkworms
Bicton Bath Salts,14,,,4,Freo Fussy Puckers
Inglewood Coldcuts,9,,,13,Mullaloozers
Gravel Road GrindRs,6,,,14,Karrakatta Grim Jobs
Perth Glory-Holerz,4,,,11,Innaloominati
Brentwood Bushchooks,,,,,Innaloo Pinguz
GMLA Guardians,17,,,5,Mosman Park Milkmen
Parkwood Benders,18,,,15,Como Mo Co
Scarbra Streisands,15,,,6,Churchlands Hellraisers
Mindarie Molotovs,7,,,12,Greenmount Doom
Karrinyup Bandits,9,,,6,Doubleview Double Yewws
Dianella Demons,11,,,5,Hillarys Humpbacks
Kensington Kermits,7,,,10,Mt Pleasant Mounties
Floreat Flamingos,3,,,8,Bicton Banter Lords
GMLA Angels,12,,,3,Claremont Cereal Killahs
Hungry Spot Heroes,12,,,5,North Perth Bald Beavers
Dog Swamp Swamp Dogs,13,,,12,Karrakatta Grim Jobs
West Leederville Wobbegongs,4,,,5,Cottesloe Clam Hunters
Whitfords City Wristies,9,,,12,Ocean Beef
South Perth Puckaneers,11,OT,,12,Willo Wonkas
Maylands Muthapuckas,17,,,8,Innaloominati
Bicton Bath Salts,13,,,20,Shenton Park Speed Dealers
GMLA Jurassic Pucks,8,,,13,Gravel Road GrindRs
Inglewood Coldcuts,7,,,17,Melville Massiv
Subiaco Silkworms,9,,,10,Mullaloozers
Freo Fussy Puckers,6,,,9,Creepy Crawleys
Perth Glory-Holerz,,,,,
Bicton Banter Lords,2,,,11,Brentwood Bushchooks
Doubleview Double Yewws,9,OT,,10,GMLA Guardians
Mosman Park Milkmen,12,,,5,Floreat Flamingos
Greenmount Doom,19,,,11,Parkwood Benders
Hillarys Humpbacks,3,,,9,Scarbra Streisands
Karrinyup Bandits,9,,,5,West Leederville Wobbegongs
Willo Wonkas,13,,OT,12,Dog Swamp Swamp Dogs
Perth Glory-Holerz,4,,,19,Ocean Beef
Freo Fussy Puckers,12,,OT,11,Kensington Kermits
Cottesloe Clam Hunters,10,,,7,Dianella Demons
Churchlands Hellraisers,11,,,10,Innaloo Pinguz
Whitfords City Wristies,12,,,11,Mullaloozers
Mindarie Molotovs,10,,,4,Claremont Cereal Killahs
Shenton Park Speed Dealers,12,,OT,11,Subiaco Silkworms
Creepy Crawleys,11,,,20,Como Mo Co
GMLA Angels,9,,,5,Inglewood ColdCuts
Mt Pleasant Mounties,9,,,8,South Perth Puckaneers
Hungry Spot Heroes,9,,,7,Melville Massiv
North Perth Bald Beavers,16,,,11,Innaloominati
Maylands Muthapuckas,6,,,7,Karrakatta Grim Jobs
,,,,,GMLA Jurassic Pucks
Gravel Road GrindRs,8,,,12,Bicton Bath Salts
Scarbra Streisands,8,,,5,Parkwood Benders
Mosman Park Milkmen,5,,,8,Bicton Banter Lords
Brentwood Bushchooks,6,,,3,Karrinyup Bandits
Churchlands Hellraisers,14,,,17,Greenmount Doom
GMLA Guardians,,,,,Mindarie Molotovs
Doubleview Double Yewws,,,,,Innaloo Pinguz
Dianella Demons,5,,,9,West Leederville Wobbegongs
Hillarys Humpbacks,15,,,4,Gravel Road GrindRs
Cottesloe Clam Hunters,9,,,7,Shenton Park Speed Dealers
GMLA Angels,8,,,14,Como Mo Co
Willo Wonkas,7,,,12,Mt Pleasant Mounties
Dog Swamp Swamp Dogs,12,,,5,Whitfords City Wristies
Floreat Flamingos,15,,,6,Ocean Beef
South Perth Puckaneers,6,,,7,Kensington Kermits
Maylands Muthapuckas,11,,OT,10,Bicton Bath Salts
Claremont Cereal Killahs,7,,,3,North Perth Bald Beavers
Creepy Crawleys,5,,,11,Hungry Spot Heroes
Subiaco Silkworms,24,,,10,Inglewood ColdCuts
Mullaloozers,6,,,13,Karrakatta Grim Jobs
Melville Massiv,11,,,6,Freo Fussy Puckers
Perth Glory-Holerz,14,,,7,GMLA Jurassic Pucks
Innaloominati,,,,,
Bicton Bath Salts,7,,,6,Bicton Banter Lords
Mt Pleasant Mounties,7,,,12,Brentwood Bushchooks
Churchlands Hellraisers,10,,,4,Hungry Spot Heroes
Claremont Cereal Killahs,1,,,11,Cottesloe Clam Hunters
Como Mo Co,20,,,7,South Perth Puckaneers
Inglewood ColdCuts,13,,,20,Creepy Crawleys
Karrinyup Bandits,8,,,6,Dianella Demons
Freo Fussy Puckers,11,,,19,Dog Swamp Swamp Dogs
Doubleview Double Yewws,16,,,10,Shenton Park Speed Dealers
Floreat Flamingos,4,,,8,Mindarie Molotovs
GMLA Angels,,,,,West Leederville Wobbegongs
Maylands Muthapuckas,3,,,15,GMLA Guardians
Karrakatta Grim Jobs,16,,,7,GMLA Jurassic Pucks
Kensington Kermits,14,,OT,13,Gravel Road GrindRs
Whitfords City Wristies,10,,,15,Greenmount Doom
North Perth Bald Beavers,5,,,6,HIllarys Humpbacks
Innaloominati,4,,,14,Melville Massiv
Innaloo Pinguz,,,,,Parkwood Benders
Scarbra Streisands,11,,,6,Mosman Park MIlkmen
Mullaloozers,10,,,5,Perth Glory-Holerz
Ocean Beef,13,,,5,Subiaco Silkworms
Bicton Banter Lords,3,,,16,GMLA Guardians
Bicton Bath Salts,8,,,11,Mt Pleasant Mounties
Brentwood Bushchooks,,,,,Scarbra Streisands
Churchlands Hellraisers,5,,,8,Karrinyup Bandits
Claremont Cereal Killahs,4,,,6,Karrakatta Grim Jobs
Ocean Beef,6,,,7,Cottesloe Clam Hunters
GMLA Jurassic Pucks,10,,,17,Creepy Crawleys
Doubleview Double Yewws,,,,,Dianella Demons
Shenton Park Speed Dealers,,,,,Dog Swamp Swamp Dogs
Freo Fussy Puckers,16,,,10,Inglewood Coldcuts
Whitfords City Wristies,16,,,8,Floreat Flamingos
South Perth Puckaneers,,,,,GMLA Angels
Gravel Road GrindRs,,,,,Perth Glory-Holerz
Willo Wonkas,14,,,17,Greenmount Doom
Hungry Spot Heroes,6,,,14,Mullaloozers
West Leederville Wobbegongs ,,,,,Innaloo Pinguz
Kensington Kermits,,,,,Melville Massiv
Parkwood Benders,8,,,16,Mindarie Molotovs
Subiaco SIlkworms,12,,,5,North Perth Bald Beavers
Mosman Park Milkmen,12,,,4,Maylands Muthapuckas
Como Mo Co,14,,,4,Hillarys Humpbacks
