ROUND,HOME,SCORE,SCORE,AWAY,OT
2,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,14,6,Manning Manchilds,
2,USSR,7,9,Perth City Puck Pirates,
2,Swan View Sharks,12,5,St James Addictions,
2,Morning Brentwood,11,5,Wilson Castaways,
2,Bicton Four'n Twenty,12,11,K-Town Cooks,OT
2,Booragoonbagz,17,14,Stirling From The Bottom Now We're Here,
2,Morley Puck Troopers,10,7,Inglewood Coldcuts,
2,Bull Creek Buttchuggers,5,12,Karrakatta Grim Jobs,
2,City Beach Kooks,7,9,Subiaco Silkworms,
2,Creepy Crawleys,8,7,Perth Glory Holez,
2,Dalkeith Dalqueefs,7,3,Mt Lawley Chai Lattes,
2,50 Shades of Graylands,15,8,Whorebin Grovers,
2,GMLA Jurassic Pucks,5,10,Innaloominati,
2,West Coast Spastic Eagles,8,14,Wembley Blue Light Discos,
2,West Stirling Banjo Breakers,22,12,Yokine Reservoir Dogs,
2,North Perth Bald Beavers,7,5,Lake Mongrels,
2,Balcatta Bandits,11,6,GMLA Guardians,
2,Claremont Cereal Killahs,5,6,Cottesloe Cowards,
2,Como At Me Bro,6,10,Bicton Bath Salts,
2,Como Mo Co,9,7,Bicton Banter Lords,
2,Dianella Demons,5,12,Churchlands Hellraisers,
2,Dog Swamp Swamp Dogs,8,6,GMLA Angels,
2,Hillarys Humpbacks,13,3,Doubleview Double Yewws,
2,Greenmount Doom,6,10,Mindarie Molotovs,
2,Maylands Muthapuckas,7,6,Hungry Spot Heroes,
2,South Perth Shakas,7,13,Kensington Kermits,
2,Leederphiles Rolferhockey,7,9,Mount Lawless,
2,Daglish Dhe Moisties,10,11,Melville Massiv,
2,Mosman Mooseknuckles,6,4,Rosemount Rinsers,
2,Swanbourne Nudists,4,26,Mullaloozers,
2,Ocean Beef,19,3,Whitfords City Wristies,
2,Wembley Food Courts,9,6,Mt Pleasant Mounties,
3,Rocko Rodents,6,8,Get Bentley,
3,Heathcote Hangers,9,8,Black Wall Reach Arounds,OT
3,Manning Manchilds,15,11,USSR,
3,K-Town Cooks,11,14,Morley Puck Troopers,
3,Highgate Hommus-sexuals,13,11,Murray Street Tramps,
3,St James Addictions,8,10,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,
3,Perth City Puck Pirates,9,10,Hydepark Hacks,
3,Salter Point Shooters,15,3,MosmAnonymous,
3,Scarborough Scar Bros,9,5,Stirling From The Bottom Now We're Here,
3,South Perth Major Blazers,6,11,Morning Brentwood,
3,East Freo Bae Blades,8,13,Wilson Castaways,
3,Swan View Sharks,6,14,West Stirling Banjo Breakers,
3,50 Shades of Graylands,10,12,Booragoonbagz,
3,Bull Creek Buttchuggers,8,15,City Beach Kooks,
3,Lake Mongrels,10,13,Creepy Crawleys,
3,GMLA Jurassic Pucks,10,6,Dalkeith Dalqueefs,
3,Inglewood Coldcuts,7,14,Yokine Reservoir Dogs,
3,Innaloominati,7,10,North Perth Bald Beavers,
3,Mt Lawley Chai Lattes,12,8,Whorebin Grovers,
3,Perth Glory Holez,11,12,Swanbourne Nudists,
3,Subiaco Silkworms,13,8,Wembley Blue Light Discos,
3,Whitfords City Wristies,20,1,West Coast Spastic Eagles,
3,South Perth Shakas,8,15,Bicton Four'n Twenty,
3,Churchlands Hellraisers,12,6,Mullaloozers,
3,Claremont Cereal Killahs,9,6,Bicton Bath Salts,
3,Cottesloe Cowards,5,8,Mosman Mooseknuckles,
3,Doubleview Double Yewws,12,15,Daglish Dhe Moisties,
3,Greenmount Doom,10,16,Balcatta Bandits,
3,Mt Pleasant Mounties,20,7,Kensington Kermits,
3,Melville Massiv,6,10,Leederphiles Rolferhockey,
3,Mindarie Molotovs,9,10,Bicton Banter Lords,
3,Mount Lawless,12,9,Como Mo Co,
